,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
30050,13034242,50915,NIFTY22JUN10000PE,NIFTY,0,2022-06-30,10000.0,0.05,50,PE,NFO-OPT,NFO
30051,13036546,50924,NIFTY22JUN10500CE,NIFTY,0,2022-06-30,10500.0,0.05,50,CE,NFO-OPT,NFO
30052,13036802,50925,NIFTY22JUN10500PE,NIFTY,0,2022-06-30,10500.0,0.05,50,PE,NFO-OPT,NFO
30053,13037826,50929,NIFTY22JUN10700PE,NIFTY,0,2022-06-30,10700.0,0.05,50,PE,NFO-OPT,NFO
30054,13038338,50931,NIFTY22JUN10800PE,NIFTY,0,2022-06-30,10800.0,0.05,50,PE,NFO-OPT,NFO
30055,13038850,50933,NIFTY22JUN10900PE,NIFTY,0,2022-06-30,10900.0,0.05,50,PE,NFO-OPT,NFO
30056,14256130,55688,NIFTY22JUN11000CE,NIFTY,0,2022-06-30,11000.0,0.05,50,CE,NFO-OPT,NFO
30057,13039618,50936,NIFTY22JUN11000PE,NIFTY,0,2022-06-30,11000.0,0.05,50,PE,NFO-OPT,NFO
30058,13040642,50940,NIFTY22JUN11100PE,NIFTY,0,2022-06-30,11100.0,0.05,50,PE,NFO-OPT,NFO
30059,13044482,50955,NIFTY22JUN11200PE,NIFTY,0,2022-06-30,11200.0,0.05,50,PE,NFO-OPT,NFO
30060,13045506,50959,NIFTY22JUN11300PE,NIFTY,0,2022-06-30,11300.0,0.05,50,PE,NFO-OPT,NFO
30061,13046530,50963,NIFTY22JUN11400PE,NIFTY,0,2022-06-30,11400.0,0.05,50,PE,NFO-OPT,NFO
30062,13047042,50965,NIFTY22JUN11500PE,NIFTY,0,2022-06-30,11500.0,0.05,50,PE,NFO-OPT,NFO
30063,13047554,50967,NIFTY22JUN11600PE,NIFTY,0,2022-06-30,11600.0,0.05,50,PE,NFO-OPT,NFO
30064,13048066,50969,NIFTY22JUN11700PE,NIFTY,0,2022-06-30,11700.0,0.05,50,PE,NFO-OPT,NFO
30065,13048322,50970,NIFTY22JUN11800CE,NIFTY,0,2022-06-30,11800.0,0.05,50,CE,NFO-OPT,NFO
30066,13048578,50971,NIFTY22JUN11800PE,NIFTY,0,2022-06-30,11800.0,0.05,50,PE,NFO-OPT,NFO
30067,13049090,50973,NIFTY22JUN11900PE,NIFTY,0,2022-06-30,11900.0,0.05,50,PE,NFO-OPT,NFO
30068,14998530,58588,NIFTY22JUN12000CE,NIFTY,0,2022-06-30,12000.0,0.05,50,CE,NFO-OPT,NFO
30069,9299970,36328,NIFTY22JUN12000PE,NIFTY,0,2022-06-30,12000.0,0.05,50,PE,NFO-OPT,NFO
30070,10271234,40122,NIFTY22JUN12100PE,NIFTY,0,2022-06-30,12100.0,0.05,50,PE,NFO-OPT,NFO
30071,10493186,40989,NIFTY22JUN12200PE,NIFTY,0,2022-06-30,12200.0,0.05,50,PE,NFO-OPT,NFO
30072,11140866,43519,NIFTY22JUN12300PE,NIFTY,0,2022-06-30,12300.0,0.05,50,PE,NFO-OPT,NFO
30073,9395970,36703,NIFTY22JUN12500PE,NIFTY,0,2022-06-30,12500.0,0.05,50,PE,NFO-OPT,NFO
30074,9496322,37095,NIFTY22JUN12600PE,NIFTY,0,2022-06-30,12600.0,0.05,50,PE,NFO-OPT,NFO
30075,11276546,44049,NIFTY22JUN12700PE,NIFTY,0,2022-06-30,12700.0,0.05,50,PE,NFO-OPT,NFO
30076,9532674,37237,NIFTY22JUN12800PE,NIFTY,0,2022-06-30,12800.0,0.05,50,PE,NFO-OPT,NFO
30077,9661442,37740,NIFTY22JUN13000CE,NIFTY,0,2022-06-30,13000.0,0.05,50,CE,NFO-OPT,NFO
30078,10087426,39404,NIFTY22JUN13000PE,NIFTY,0,2022-06-30,13000.0,0.05,50,PE,NFO-OPT,NFO
30079,12085762,47210,NIFTY22JUN13400PE,NIFTY,0,2022-06-30,13400.0,0.05,50,PE,NFO-OPT,NFO
30080,9874690,38573,NIFTY22JUN13800CE,NIFTY,0,2022-06-30,13800.0,0.05,50,CE,NFO-OPT,NFO
30081,9874946,38574,NIFTY22JUN13800PE,NIFTY,0,2022-06-30,13800.0,0.05,50,PE,NFO-OPT,NFO
30082,12425218,48536,NIFTY22JUN13850CE,NIFTY,0,2022-06-30,13850.0,0.05,50,CE,NFO-OPT,NFO
30083,12425474,48537,NIFTY22JUN13850PE,NIFTY,0,2022-06-30,13850.0,0.05,50,PE,NFO-OPT,NFO
30084,12425730,48538,NIFTY22JUN13900CE,NIFTY,0,2022-06-30,13900.0,0.05,50,CE,NFO-OPT,NFO
30085,12427778,48546,NIFTY22JUN13900PE,NIFTY,0,2022-06-30,13900.0,0.05,50,PE,NFO-OPT,NFO
30086,12428034,48547,NIFTY22JUN13950CE,NIFTY,0,2022-06-30,13950.0,0.05,50,CE,NFO-OPT,NFO
30087,12428802,48550,NIFTY22JUN13950PE,NIFTY,0,2022-06-30,13950.0,0.05,50,PE,NFO-OPT,NFO
30088,11102722,43370,NIFTY22JUN14000CE,NIFTY,0,2022-06-30,14000.0,0.05,50,CE,NFO-OPT,NFO
30089,11102978,43371,NIFTY22JUN14000PE,NIFTY,0,2022-06-30,14000.0,0.05,50,PE,NFO-OPT,NFO
30090,12429058,48551,NIFTY22JUN14050CE,NIFTY,0,2022-06-30,14050.0,0.05,50,CE,NFO-OPT,NFO
30091,12429314,48552,NIFTY22JUN14050PE,NIFTY,0,2022-06-30,14050.0,0.05,50,PE,NFO-OPT,NFO
30092,12430082,48555,NIFTY22JUN14100CE,NIFTY,0,2022-06-30,14100.0,0.05,50,CE,NFO-OPT,NFO
30093,12430338,48556,NIFTY22JUN14100PE,NIFTY,0,2022-06-30,14100.0,0.05,50,PE,NFO-OPT,NFO
30094,12430594,48557,NIFTY22JUN14150CE,NIFTY,0,2022-06-30,14150.0,0.05,50,CE,NFO-OPT,NFO
30095,12431106,48559,NIFTY22JUN14150PE,NIFTY,0,2022-06-30,14150.0,0.05,50,PE,NFO-OPT,NFO
30096,9795074,38262,NIFTY22JUN14200CE,NIFTY,0,2022-06-30,14200.0,0.05,50,CE,NFO-OPT,NFO
30097,9795842,38265,NIFTY22JUN14200PE,NIFTY,0,2022-06-30,14200.0,0.05,50,PE,NFO-OPT,NFO
30098,11494146,44899,NIFTY22JUN14250CE,NIFTY,0,2022-06-30,14250.0,0.05,50,CE,NFO-OPT,NFO
30099,11494658,44901,NIFTY22JUN14250PE,NIFTY,0,2022-06-30,14250.0,0.05,50,PE,NFO-OPT,NFO
30100,13935106,54434,NIFTY22JUN14300CE,NIFTY,0,2022-06-30,14300.0,0.05,50,CE,NFO-OPT,NFO
30101,13935362,54435,NIFTY22JUN14300PE,NIFTY,0,2022-06-30,14300.0,0.05,50,PE,NFO-OPT,NFO
30102,13935618,54436,NIFTY22JUN14350CE,NIFTY,0,2022-06-30,14350.0,0.05,50,CE,NFO-OPT,NFO
30103,13981186,54614,NIFTY22JUN14350PE,NIFTY,0,2022-06-30,14350.0,0.05,50,PE,NFO-OPT,NFO
30104,13981442,54615,NIFTY22JUN14400CE,NIFTY,0,2022-06-30,14400.0,0.05,50,CE,NFO-OPT,NFO
30105,13981698,54616,NIFTY22JUN14400PE,NIFTY,0,2022-06-30,14400.0,0.05,50,PE,NFO-OPT,NFO
30106,13981954,54617,NIFTY22JUN14450CE,NIFTY,0,2022-06-30,14450.0,0.05,50,CE,NFO-OPT,NFO
30107,13988610,54643,NIFTY22JUN14450PE,NIFTY,0,2022-06-30,14450.0,0.05,50,PE,NFO-OPT,NFO
30108,11108610,43393,NIFTY22JUN14500CE,NIFTY,0,2022-06-30,14500.0,0.05,50,CE,NFO-OPT,NFO
30109,11111426,43404,NIFTY22JUN14500PE,NIFTY,0,2022-06-30,14500.0,0.05,50,PE,NFO-OPT,NFO
30110,13988866,54644,NIFTY22JUN14550CE,NIFTY,0,2022-06-30,14550.0,0.05,50,CE,NFO-OPT,NFO
30111,13989122,54645,NIFTY22JUN14550PE,NIFTY,0,2022-06-30,14550.0,0.05,50,PE,NFO-OPT,NFO
30112,13989378,54646,NIFTY22JUN14600CE,NIFTY,0,2022-06-30,14600.0,0.05,50,CE,NFO-OPT,NFO
30113,13989634,54647,NIFTY22JUN14600PE,NIFTY,0,2022-06-30,14600.0,0.05,50,PE,NFO-OPT,NFO
30114,10109698,39491,NIFTY22JUN14650CE,NIFTY,0,2022-06-30,14650.0,0.05,50,CE,NFO-OPT,NFO
30115,10146306,39634,NIFTY22JUN14650PE,NIFTY,0,2022-06-30,14650.0,0.05,50,PE,NFO-OPT,NFO
30116,10161410,39693,NIFTY22JUN14700CE,NIFTY,0,2022-06-30,14700.0,0.05,50,CE,NFO-OPT,NFO
30117,10163202,39700,NIFTY22JUN14700PE,NIFTY,0,2022-06-30,14700.0,0.05,50,PE,NFO-OPT,NFO
30118,12426498,48541,NIFTY22JUN14750CE,NIFTY,0,2022-06-30,14750.0,0.05,50,CE,NFO-OPT,NFO
30119,12426754,48542,NIFTY22JUN14750PE,NIFTY,0,2022-06-30,14750.0,0.05,50,PE,NFO-OPT,NFO
30120,11800066,46094,NIFTY22JUN14800CE,NIFTY,0,2022-06-30,14800.0,0.05,50,CE,NFO-OPT,NFO
30121,11800834,46097,NIFTY22JUN14800PE,NIFTY,0,2022-06-30,14800.0,0.05,50,PE,NFO-OPT,NFO
30122,11801090,46098,NIFTY22JUN14850CE,NIFTY,0,2022-06-30,14850.0,0.05,50,CE,NFO-OPT,NFO
30123,11801602,46100,NIFTY22JUN14850PE,NIFTY,0,2022-06-30,14850.0,0.05,50,PE,NFO-OPT,NFO
30124,10855938,42406,NIFTY22JUN14900CE,NIFTY,0,2022-06-30,14900.0,0.05,50,CE,NFO-OPT,NFO
30125,10856194,42407,NIFTY22JUN14900PE,NIFTY,0,2022-06-30,14900.0,0.05,50,PE,NFO-OPT,NFO
30126,10856450,42408,NIFTY22JUN14950CE,NIFTY,0,2022-06-30,14950.0,0.05,50,CE,NFO-OPT,NFO
30127,10857218,42411,NIFTY22JUN14950PE,NIFTY,0,2022-06-30,14950.0,0.05,50,PE,NFO-OPT,NFO
30128,10257922,40070,NIFTY22JUN15000CE,NIFTY,0,2022-06-30,15000.0,0.05,50,CE,NFO-OPT,NFO
30129,10258178,40071,NIFTY22JUN15000PE,NIFTY,0,2022-06-30,15000.0,0.05,50,PE,NFO-OPT,NFO
30130,10857474,42412,NIFTY22JUN15050CE,NIFTY,0,2022-06-30,15050.0,0.05,50,CE,NFO-OPT,NFO
30131,10857730,42413,NIFTY22JUN15050PE,NIFTY,0,2022-06-30,15050.0,0.05,50,PE,NFO-OPT,NFO
30132,10857986,42414,NIFTY22JUN15100CE,NIFTY,0,2022-06-30,15100.0,0.05,50,CE,NFO-OPT,NFO
30133,10858242,42415,NIFTY22JUN15100PE,NIFTY,0,2022-06-30,15100.0,0.05,50,PE,NFO-OPT,NFO
30134,10858498,42416,NIFTY22JUN15150CE,NIFTY,0,2022-06-30,15150.0,0.05,50,CE,NFO-OPT,NFO
30135,10858754,42417,NIFTY22JUN15150PE,NIFTY,0,2022-06-30,15150.0,0.05,50,PE,NFO-OPT,NFO
30136,9880834,38597,NIFTY22JUN15200CE,NIFTY,0,2022-06-30,15200.0,0.05,50,CE,NFO-OPT,NFO
30137,9881090,38598,NIFTY22JUN15200PE,NIFTY,0,2022-06-30,15200.0,0.05,50,PE,NFO-OPT,NFO
30138,9881346,38599,NIFTY22JUN15250CE,NIFTY,0,2022-06-30,15250.0,0.05,50,CE,NFO-OPT,NFO
30139,9881602,38600,NIFTY22JUN15250PE,NIFTY,0,2022-06-30,15250.0,0.05,50,PE,NFO-OPT,NFO
30140,9882370,38603,NIFTY22JUN15300CE,NIFTY,0,2022-06-30,15300.0,0.05,50,CE,NFO-OPT,NFO
30141,9882626,38604,NIFTY22JUN15300PE,NIFTY,0,2022-06-30,15300.0,0.05,50,PE,NFO-OPT,NFO
30142,9882882,38605,NIFTY22JUN15350CE,NIFTY,0,2022-06-30,15350.0,0.05,50,CE,NFO-OPT,NFO
30143,9883138,38606,NIFTY22JUN15350PE,NIFTY,0,2022-06-30,15350.0,0.05,50,PE,NFO-OPT,NFO
30144,9884930,38613,NIFTY22JUN15400CE,NIFTY,0,2022-06-30,15400.0,0.05,50,CE,NFO-OPT,NFO
30145,9885186,38614,NIFTY22JUN15400PE,NIFTY,0,2022-06-30,15400.0,0.05,50,PE,NFO-OPT,NFO
30146,12721922,49695,NIFTY22JUN15450CE,NIFTY,0,2022-06-30,15450.0,0.05,50,CE,NFO-OPT,NFO
30147,12722178,49696,NIFTY22JUN15450PE,NIFTY,0,2022-06-30,15450.0,0.05,50,PE,NFO-OPT,NFO
30148,11675394,45607,NIFTY22JUN15500CE,NIFTY,0,2022-06-30,15500.0,0.05,50,CE,NFO-OPT,NFO
30149,11675650,45608,NIFTY22JUN15500PE,NIFTY,0,2022-06-30,15500.0,0.05,50,PE,NFO-OPT,NFO
30150,12722434,49697,NIFTY22JUN15550CE,NIFTY,0,2022-06-30,15550.0,0.05,50,CE,NFO-OPT,NFO
30151,12722690,49698,NIFTY22JUN15550PE,NIFTY,0,2022-06-30,15550.0,0.05,50,PE,NFO-OPT,NFO
30152,12722946,49699,NIFTY22JUN15600CE,NIFTY,0,2022-06-30,15600.0,0.05,50,CE,NFO-OPT,NFO
30153,12723202,49700,NIFTY22JUN15600PE,NIFTY,0,2022-06-30,15600.0,0.05,50,PE,NFO-OPT,NFO
30154,11216130,43813,NIFTY22JUN15650CE,NIFTY,0,2022-06-30,15650.0,0.05,50,CE,NFO-OPT,NFO
30155,11217154,43817,NIFTY22JUN15650PE,NIFTY,0,2022-06-30,15650.0,0.05,50,PE,NFO-OPT,NFO
